pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2024-12-01	Animal and bacterial viruses share conserved mechanisms of immune evasion	Cell	Discovery of conserved immune evasion mechanisms across animal and bacterial viruses.	Hobbs SJ, Nomburg J, Doudna JA, & Kranzusch PJ. (2024). "Animal and bacterial viruses share conserved mechanisms of immune evasion." <i>Cell</i>.	animal-bacterial-viruses-immune-evasion		
2024-11-01	Birth of protein folds and functions in the virome	Nature	Investigation of protein fold evolution and functional diversification in viral genomes.	Nomburg J, Doherty EE, Price N, Bellieny-Rabelo D, Zhu YK, & Doudna JA. (2024). "Birth of protein folds and functions in the virome." <i>Nature</i>.	birth-protein-folds-virome		
2023-12-01	Genome-wide characterization of diverse bacteriophages enabled by RNA-binding CRISPRi	bioRxiv	Comprehensive characterization of bacteriophage genomes using innovative CRISPRi methodology. In press at Nature Microbiology.	Adler BA, Al-Shimary MJ, Patel JR, Ambruster E, Colognori D, Charles EJ, Miller KV, Lahiri A, Trinidad M, Boger R, Nomburg J, Beurnier S, Cui ML, Barrangou R, Mutalik VK, Schoeniger JS, Pogliano JA, Savage DF, Doudna JA, & Cress BF. (2023). "Genome-wide characterization of diverse bacteriophages enabled by RNA-binding CRISPRi." <i>bioRxiv</i>.	bacteriophage-crispri-characterization		
2022-12-01	An international report on bacterial communities in esophageal squamous cell carcinoma	International Journal of Cancer	International study examining bacterial microbiome associations with esophageal squamous cell carcinoma.	Nomburg J, Bullman S, Nasrollahzadeh D, Collisson EA, Abedi‐Ardekani B, Akoko LO, Atkins JR, Buckle GC, Gopal S, Hu N, Kaimila B, Khoshnia M, Malekzadeh R, Menya D, Mmbaga BT, Moody S, Mulima G, Mushi BP, Mwaiselage J, Mwanga A, Newton Y, Ng DL, Radenbaugh A, Rwakatema DS, Selekwa M, Schüz J, Taylor PR, Vaske C, Goldstein A, Stratton MR, McCormack V, Brennan P, DeCaprio JA, Meyerson M, Mmbaga EJ, & Van Loon K. (2022). "An international report on bacterial communities in esophageal squamous cell carcinoma." <i>International Journal of Cancer</i>.	bacterial-communities-esophageal-carcinoma		
2022-11-01	Reversal of viral and epigenetic HLA class I repression in Merkel cell carcinoma	The Journal of Clinical Investigation	Research on HLA class I expression restoration in Merkel cell carcinoma through viral and epigenetic mechanisms.	Lee PC, Klaeger S, Le PM, Korthauer K, Cheng J, Ananthapadmanabhan V, Frost TC, Stevens JD, Wong AYL, Iorgulescu JB, Tarren AY, Chea VA, Carulli IP, Lemvigh CK, Pedersen CB, Gartin AK, Sarkizova S, Wright KT, Li LW, Nomburg J, Li S, Huang T, Liu X, Pomerance L, Doherty LM, Apffel AM, Wallace LJ, Rachimi S, Felt KD, Wolff JO, Witten E, Zhang W, Neuberg D, Lane WJ, Zhang G, Olsen LR, Thakuria M, Rodig SJ, Clauser KR, Starrett GJ, Doench JG, Buhrlage SJ, Carr SA, DeCaprio JA, Wu CJ, & Keskin DB. (2022). "Reversal of viral and epigenetic HLA class I repression in Merkel cell carcinoma." <i>The Journal of Clinical Investigation</i>.	hla-reversal-merkel-cell-carcinoma		
2022-10-01	Long-read sequencing reveals complex patterns of wraparound transcription in polyomaviruses	PLoS Pathogens	Long-read sequencing analysis revealing complex transcriptional patterns in polyomavirus genomes.	Nomburg J, Zou W, Frost TC, Datta C, Vasudevan S, Starrett GJ, Imperiale MJ, Meyerson M, & DeCaprio JA. (2022). "Long-read sequencing reveals complex patterns of wraparound transcription in polyomaviruses." <i>PLoS Pathogens</i>.	polyomavirus-wraparound-transcription		
2021-11-01	Metagenomic analysis to identify novel infectious agents in systemic anaplastic large cell lymphoma	Infectious Agents and Cancer	Metagenomic investigation for novel infectious agents in systemic anaplastic large cell lymphoma.	Mahale P, Nomburg J, Song JY, Steinberg M, Starrett G, Boland J, Lynch CF, Chadburn A, Rubinstein PG, Hernandez BY, Weisenburger DD, Bullman S, & Engels EA. (2021). "Metagenomic analysis to identify novel infectious agents in systemic anaplastic large cell lymphoma." <i>Infectious Agents and Cancer</i>.	metagenomic-anaplastic-lymphoma		
2021-10-01	Characterization of plasmacytoid dendritic cells, microbial sequences, and identification of a candidate public T-cell clone in Kikuchi-Fujimoto disease	Pediatric and Developmental Pathology	Comprehensive characterization of immune cell populations and microbial components in Kikuchi-Fujimoto disease.	Nelson ND, Meng W, Rosenfeld AM, Bullman S, Pedamallu CS, Nomburg JL, Wertheim GB, Paessler ME, Pinkus G, Hornick JL, Meyerson M, Luning Prak ET, & Pillai V. (2021). "Characterization of plasmacytoid dendritic cells, microbial sequences, and identification of a candidate public T-cell clone in Kikuchi-Fujimoto disease." <i>Pediatric and Developmental Pathology</i>.	kikuchi-fujimoto-characterization		
2020-12-01	Pervasive generation of non-canonical subgenomic RNAs by SARS-CoV-2	Genome Medicine	Discovery of widespread non-canonical subgenomic RNA generation in SARS-CoV-2 infection.	Nomburg J, Meyerson M, & DeCaprio JA. (2020). "Pervasive generation of non-canonical subgenomic RNAs by SARS-CoV-2." <i>Genome Medicine</i>.	sars-cov2-subgenomic-rnas		
2020-11-01	Clinical and molecular characterization of virus-positive and virus-negative Merkel cell carcinoma	Genome Medicine	Comprehensive clinical and molecular analysis comparing virus-positive and virus-negative Merkel cell carcinoma.	Starrett GJ, Thakuria M, Chen T, Marcelus C, Cheng J, Nomburg J, Thorner AR, Slevin MK, Powers W, Burns RT, Perry C, Piris A, Kuo FC, Rabinowits G, Giobbie-Hurder A, MacConaill LE, & DeCaprio JA. (2020). "Clinical and molecular characterization of virus-positive and virus-negative Merkel cell carcinoma." <i>Genome Medicine</i>.	merkel-cell-carcinoma-characterization		
2020-10-01	Mutational signature in colorectal cancer caused by genotoxic pks+ E. coli	Nature	Identification of specific mutational signatures in colorectal cancer linked to genotoxic E. coli bacteria.	Pleguezuelos-Manzano C, Puschhof J, Rosendahl Huber A, van Hoeck A, Wood HM, Nomburg J, Gurjao C, Manders F, Dalmasso G, Stege PB, Paganelli FL, Geurts MH, Beumer J, Mizutani T, Miao Y, van der Linden R, van der Elst S, Garcia KC, Top J, Willems RJL, Giannakis M, Bonnet R, Quirke P, Meyerson M, Cuppen E, van Boxtel R, & Clevers H. (2020). "Mutational signature in colorectal cancer caused by genotoxic pks+ E. coli." <i>Nature</i>.	colorectal-cancer-ecoli-signature		
2020-09-01	Comprehensive metagenomic analysis of blastic plasmacytoid dendritic cell neoplasm	Blood Advances	Comprehensive metagenomic characterization of blastic plasmacytoid dendritic cell neoplasm.	Nomburg J, Bullman S, Chung SS, Togami K, Walker MA, Griffin GK, Morgan EA, LeBoeuf NR, DeCaprio JA, Meyerson M, & Lane AA. (2020). "Comprehensive metagenomic analysis of blastic plasmacytoid dendritic cell neoplasm." <i>Blood Advances</i>.	blastic-plasmacytoid-metagenomic		
2019-12-01	Epstein-Barr-virus-induced one-carbon metabolism drives B cell transformation	Cell Metabolism	Investigation of how Epstein-Barr virus manipulates one-carbon metabolism to drive B cell transformation.	Wang LW, Shen H, Nobre L, Ersing I, Paulo JA, Trudeau S, Wang Z, Smith NA, Ma Y, Reinstadler B, Nomburg J, Sommermann T, Cahir-McFarland E, Gygi SP, Mootha VK, Weekes MP, & Gewurz BE. (2019). "Epstein-Barr-virus-induced one-carbon metabolism drives B cell transformation." <i>Cell Metabolism</i>.	ebv-one-carbon-metabolism		
2018-12-01	Upon infection, cellular WD repeat-containing protein 5 (WDR5) localizes to cytoplasmic inclusion bodies and enhances measles virus replication	Journal of Virology	Research on WDR5 protein function in measles virus replication and cytoplasmic inclusion body formation.	Ma D, George CX, Nomburg JL, Pfaller CK, Cattaneo R, & Samuel CE. (2018). "Upon infection, cellular WD repeat-containing protein 5 (WDR5) localizes to cytoplasmic inclusion bodies and enhances measles virus replication." <i>Journal of Virology</i>.	wdr5-measles-virus-replication		
2018-11-01	CRISPR–Cas9 genetic analysis of virus–host interactions	Viruses	Review of CRISPR-Cas9 applications for studying virus-host interactions and viral pathogenesis.	Gebre M, Nomburg JL, & Gewurz BE. (2018). "CRISPR–Cas9 genetic analysis of virus–host interactions." <i>Viruses</i>.	crispr-cas9-virus-host		
